Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00    20680     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.03     0.00    20680     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_set_size(unsigned long)
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_init()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      0.03     0.00    20680     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      0.03     0.00    20295     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.03     0.00    20295     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.03     0.00    20295     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00    20295     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.03     0.00    20295     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::max_size() const
  0.00      0.03     0.00    20295     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.03     0.00    20295     0.00     0.00  std::_List_iterator<int>::operator--()
  0.00      0.03     0.00    20295     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.03     0.00    20295     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.03     0.00    20295     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.03     0.00    20295     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.03     0.00    20295     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.03     0.00    20295     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.03     0.00    20295     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_dec_size(unsigned long)
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      0.03     0.00    20295     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::back()
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::_M_erase(std::_List_iterator<int>)
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::pop_back()
  0.00      0.03     0.00    20295     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      0.03     0.00    20295     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int const&)
  0.00      0.03     0.00    20295     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      0.03     0.00    16763     0.00     0.00  __gnu_cxx::__aligned_membuf<middle>::_M_ptr()
  0.00      0.03     0.00    16763     0.00     0.00  __gnu_cxx::__aligned_membuf<middle>::_M_addr()
  0.00      0.03     0.00    16763     0.00     0.00  std::_List_node<middle>::_M_valptr()
  0.00      0.03     0.00    16583     0.00     0.00  std::_List_iterator<middle>::operator->() const
  0.00      0.03     0.00    15987     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<edge> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00    15987     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<edge> >::construct<edge, edge const&>(edge*, edge const&)
  0.00      0.03     0.00    15987     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<edge> >::max_size() const
  0.00      0.03     0.00    15987     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<edge> > >::__allocated_ptr(std::allocator<std::_List_node<edge> >&, std::_List_node<edge>*)
  0.00      0.03     0.00    15987     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<edge> > >::~__allocated_ptr()
  0.00      0.03     0.00    15987     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<edge> > >::operator=(decltype(nullptr))
  0.00      0.03     0.00    15987     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<edge> > >::allocate(std::allocator<std::_List_node<edge> >&, unsigned long)
  0.00      0.03     0.00    15987     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<edge> > >::construct<edge, edge const&>(std::allocator<std::_List_node<edge> >&, edge*, edge const&)
  0.00      0.03     0.00    15987     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_get_node()
  0.00      0.03     0.00    15987     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_inc_size(unsigned long)
  0.00      0.03     0.00    15987     0.00     0.00  std::_List_node<edge>* std::__cxx11::list<edge, std::allocator<edge> >::_M_create_node<edge const&>(edge const&)
  0.00      0.03     0.00    15987     0.00     0.00  void std::__cxx11::list<edge, std::allocator<edge> >::_M_insert<edge const&>(std::_List_iterator<edge>, edge const&)
  0.00      0.03     0.00    15987     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::push_back(edge const&)
  0.00      0.03     0.00    15987     0.00     0.00  std::allocator<std::_List_node<edge> >* std::__addressof<std::allocator<std::_List_node<edge> > >(std::allocator<std::_List_node<edge> >&)
  0.00      0.03     0.00    15969     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<edge> >::deallocate(std::_List_node<edge>*, unsigned long)
  0.00      0.03     0.00    15969     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<edge> >::destroy<edge>(edge*)
  0.00      0.03     0.00    15969     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<edge> > >::deallocate(std::allocator<std::_List_node<edge> >&, std::_List_node<edge>*, unsigned long)
  0.00      0.03     0.00    15969     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<edge> > >::destroy<edge>(std::allocator<std::_List_node<edge> >&, edge*)
  0.00      0.03     0.00    15969     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_put_node(std::_List_node<edge>*)
  0.00      0.03     0.00    15804     0.00     0.00  copyCube(int (*) [3][3])
  0.00      0.03     0.00    15767     0.00     0.00  std::_List_const_iterator<corner>::_M_const_cast() const
  0.00      0.03     0.00    15767     0.00     0.00  std::_List_const_iterator<corner>::_List_const_iterator(std::_List_iterator<corner> const&)
  0.00      0.03     0.00    15767     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_dec_size(unsigned long)
  0.00      0.03     0.00    15767     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::erase(std::_List_const_iterator<corner>)
  0.00      0.03     0.00    15767     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::_M_erase(std::_List_iterator<corner>)
  0.00      0.03     0.00    15585     0.00     0.00  std::iterator_traits<std::_List_iterator<corner> >::iterator_category std::__iterator_category<std::_List_iterator<corner> >(std::_List_iterator<corner> const&)
  0.00      0.03     0.00    15585     0.00     0.00  void std::advance<std::_List_iterator<corner>, int>(std::_List_iterator<corner>&, int)
  0.00      0.03     0.00    15585     0.00     0.00  void std::__advance<std::_List_iterator<corner>, long>(std::_List_iterator<corner>&, long, std::bidirectional_iterator_tag)
  0.00      0.03     0.00    10698     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_node_count() const
  0.00      0.03     0.00    10698     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::size() const
  0.00      0.03     0.00    10251     0.00     0.00  last[abi:cxx11]()
  0.00      0.03     0.00    10251     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.03     0.00     7609     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.03     0.00     6507     0.00     0.00  std::_List_iterator<middle>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00     6045     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_node_count() const
  0.00      0.03     0.00     6045     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::size() const
  0.00      0.03     0.00     5796     0.00     0.00  std::__cxx11::list<middle, std::allocator<middle> >::end()
  0.00      0.03     0.00     5617     0.00     0.00  std::_List_iterator<middle>::operator!=(std::_List_iterator<middle> const&) const
  0.00      0.03     0.00     5024     0.00     0.00  std::_List_iterator<middle>::operator++(int)
  0.00      0.03     0.00     4980     0.00     0.00  std::_List_const_iterator<edge>::_M_const_cast() const
  0.00      0.03     0.00     4980     0.00     0.00  std::_List_const_iterator<edge>::_List_const_iterator(std::_List_iterator<edge> const&)
  0.00      0.03     0.00     4980     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_dec_size(unsigned long)
  0.00      0.03     0.00     4980     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::erase(std::_List_const_iterator<edge>)
  0.00      0.03     0.00     4980     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::_M_erase(std::_List_iterator<edge>)
  0.00      0.03     0.00     4932     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.03     0.00     4932     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.03     0.00     4932     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.03     0.00     4932     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.03     0.00     4932     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.03     0.00     4860     0.00     0.00  printColor[abi:cxx11](int)
  0.00      0.03     0.00     4860     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.03     0.00     4860     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.03     0.00     4860     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.03     0.00     4710     0.00     0.00  std::iterator_traits<std::_List_iterator<edge> >::iterator_category std::__iterator_category<std::_List_iterator<edge> >(std::_List_iterator<edge> const&)
  0.00      0.03     0.00     4710     0.00     0.00  void std::advance<std::_List_iterator<edge>, int>(std::_List_iterator<edge>&, int)
  0.00      0.03     0.00     4710     0.00     0.00  void std::__advance<std::_List_iterator<edge>, long>(std::_List_iterator<edge>&, long, std::bidirectional_iterator_tag)
  0.00      0.03     0.00     4542     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.03     0.00     3524     0.00     0.00  dRotate(int (*) [3][3])
  0.00      0.03     0.00     3520     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int*, int*>(int*, int*) const
  0.00      0.03     0.00     3028     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.03     0.00     2884     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_set_size(unsigned long)
  0.00      0.03     0.00     2884     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_init()
  0.00      0.03     0.00     2872     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<edge> >::new_allocator()
  0.00      0.03     0.00     2872     0.00     0.00  std::allocator<std::_List_node<edge> >::allocator()
  0.00      0.03     0.00     2872     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_List_impl::_List_impl()
  0.00      0.03     0.00     2872     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_clear()
  0.00      0.03     0.00     2872     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_List_base()
  0.00      0.03     0.00     2872     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::list()
  0.00      0.03     0.00     2860     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<edge> >::~new_allocator()
  0.00      0.03     0.00     2860     0.00     0.00  std::allocator<std::_List_node<edge> >::~allocator()
  0.00      0.03     0.00     2860     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_List_impl::~_List_impl()
  0.00      0.03     0.00     2860     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::~_List_base()
  0.00      0.03     0.00     2860     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::~list()
  0.00      0.03     0.00     2784     0.00     0.00  QuestionCube::accessData(int, int, int, int)
  0.00      0.03     0.00     2575     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, int*>(int&, int*) const
  0.00      0.03     0.00     2248     0.00     0.00  diRotate(int (*) [3][3])
  0.00      0.03     0.00     2164     0.00     0.00  uRotate(int (*) [3][3])
  0.00      0.03     0.00     2006     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.03     0.00     2006     0.00     0.00  void std::__unguarded_linear_insert<int*, __gnu_cxx::__ops::_Val_less_iter>(int*, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.03     0.00     1996     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_set_size(unsigned long)
  0.00      0.03     0.00     1996     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_init()
  0.00      0.03     0.00     1988     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::new_allocator()
  0.00      0.03     0.00     1988     0.00     0.00  std::allocator<std::_List_node<corner> >::allocator()
  0.00      0.03     0.00     1988     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_List_impl::_List_impl()
  0.00      0.03     0.00     1988     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_clear()
  0.00      0.03     0.00     1988     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_List_base()
  0.00      0.03     0.00     1988     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::list()
  0.00      0.03     0.00     1980     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::~new_allocator()
  0.00      0.03     0.00     1980     0.00     0.00  std::allocator<std::_List_node<corner> >::~allocator()
  0.00      0.03     0.00     1980     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_List_impl::~_List_impl()
  0.00      0.03     0.00     1980     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::~_List_base()
  0.00      0.03     0.00     1980     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::~list()
  0.00      0.03     0.00     1760     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      0.03     0.00     1760     0.00     0.00  void std::__insertion_sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.03     0.00     1760     0.00     0.00  void std::__introsort_loop<int*, long, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, long, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.03     0.00     1760     0.00     0.00  void std::__final_insertion_sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.03     0.00     1760     0.00     0.00  std::__lg(long)
  0.00      0.03     0.00     1760     0.00     0.00  void std::sort<int*>(int*, int*)
  0.00      0.03     0.00     1760     0.00     0.00  void std::__sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.03     0.00     1656     0.00     0.00  std::_List_iterator<edge>::operator==(std::_List_iterator<edge> const&) const
  0.00      0.03     0.00     1514     0.00     0.00  int* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<int>(int const*, int const*, int*)
  0.00      0.03     0.00     1514     0.00     0.00  int* std::move_backward<int*, int*>(int*, int*, int*)
  0.00      0.03     0.00     1514     0.00     0.00  int* std::__copy_move_backward_a<true, int*, int*>(int*, int*, int*)
  0.00      0.03     0.00     1514     0.00     0.00  int* std::__copy_move_backward_a2<true, int*, int*>(int*, int*, int*)
  0.00      0.03     0.00     1252     0.00     0.00  uiRotate(int (*) [3][3])
  0.00      0.03     0.00     1200     0.00     0.00  fRotate(int (*) [3][3])
  0.00      0.03     0.00     1132     0.00     0.00  lRotate(int (*) [3][3])
  0.00      0.03     0.00     1068     0.00     0.00  rRotate(int (*) [3][3])
  0.00      0.03     0.00      990     0.00     0.00  sortAnswer(int*)
  0.00      0.03     0.00      989     0.00     0.00  removeLast()
  0.00      0.03     0.00      881     0.00     0.00  d(int (*) [3][3], int (*) [3][3], int (*) [3][3])
  0.00      0.03     0.00      839     0.00     0.00  std::_List_iterator<corner>::operator==(std::_List_iterator<corner> const&) const
  0.00      0.03     0.00      788     0.00     0.00  riRotate(int (*) [3][3])
  0.00      0.03     0.00      776     0.00     0.00  bRotate(int (*) [3][3])
  0.00      0.03     0.00      728     0.00     0.00  biRotate(int (*) [3][3])
  0.00      0.03     0.00      562     0.00     0.00  di(int (*) [3][3], int (*) [3][3], int (*) [3][3])
  0.00      0.03     0.00      541     0.00     0.00  u(int (*) [3][3], int (*) [3][3], int (*) [3][3])
  0.00      0.03     0.00      533     0.00     0.00  std::__cxx11::list<middle, std::allocator<middle> >::begin()
  0.00      0.03     0.00      484     0.00     0.00  getCorner(int, int*)
  0.00      0.03     0.00      468     0.00     0.00  liRotate(int (*) [3][3])
  0.00      0.03     0.00      456     0.00     0.00  fiRotate(int (*) [3][3])
  0.00      0.03     0.00      440     0.00     0.00  getCorners(int (*) [3], int (*) [3][3])
  0.00      0.03     0.00      440     0.00     0.00  getEdges(int (*) [2], int (*) [3][3])
  0.00      0.03     0.00      360     0.00     0.00  middle const& std::forward<middle const&>(std::remove_reference<middle const&>::type&)
  0.00      0.03     0.00      324     0.00     0.00  containsEdge(std::__cxx11::list<edge, std::allocator<edge> >&, int, int)
  0.00      0.03     0.00      313     0.00     0.00  ui(int (*) [3][3], int (*) [3][3], int (*) [3][3])
